,,,a21.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0,0,0,17705.8,16000.3,5504.33
value,453,532,532,532,532,526
weight,423,437,437,437,437,447
numItemsInKnapsack,18,17,17,17,17,18
,,,,,,
