runtime,0.065149,0.047551,0.048921,164421,161295,5500.2
value,458,477,476,477,477,476
weight,423,441,433,441,441,433
numItemsInKnapsack,18,18,18,18,18,18
,,,,,,
,,,e23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.063556,0.158561,0.054839,658913,589959,5500.2
value,507,527,538,539,539,536
weight,482,499,490,498,498,497
numItemsInKnapsack,19,18,19,19,19,19
,,,,,,
,,,e25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.075602,0.058926,0.063545,2.26151e+06,1.77411e+06,5526.19
value,621,627,638,638,638,638
weight,598,584,600,600,600,600
numItemsInKnapsack,23,22,23,23,23,23
,,,,,,
,,,e30.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.083646,0.077857,0.063128,4.17757e+07,3.98314e+07,5500.22
value,919,949,963,963,963,952
weight,861,887,895,895,895,899
numItemsInKnapsack,26,25,26,26,26,26
,,,,,,
,,,f21.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.036837,0.038177,0.035579,153113,158748,5500.17
value,192,227,227,227,227,227
weight,423,447,446,447,447,447
numItemsInKnapsack,18,18,18,18,18,18
,,,,,,
,,,f23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.044731,0.045326,0.044914,628359,567261,5518.43
value,217,239,245,245,245,239
weight,490,484,494,494,494,496
numItemsInKnapsack,20,18,19,19,19,20
,,,,,,
,,,f25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.043808,0.046985,0.052283,2.17098e+06,1.7234e+06,5504.5
value,266,279,278,279,279,273
weight,598,598,587,598,598,600
numItemsInKnapsack,23,22,22,22,22,23
,,,,,,
,,,f30.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.048522,0.062531,0.060366,4.05065e+07,3.91807e+07,5511.87
value,239,261,261,261,261,250
weight,891,887,887,887,887,897
numItemsInKnapsack,27,26,26,26,26,27
,,,,,,
,,,g23.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.054871,0.043675,0.042766,627037,567748,5521.72
value,155,161,162,162,162,162
weight,144,148,149,149,149,149
numItemsInKnapsack,21,20,21,21,21,21
,,,,,,
,,,g24.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.057957,0.052146,0.047919,1.22773e+06,885218,5507.47
value,124,130,128,130,130,124
weight,101,107,101,107,107,107
numItemsInKnapsack,22,22,22,22,22,22
,,,,,,
,,,g25.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
,,,g26.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.067785,0.051265,0.056202,3.97411e+06,2.30114e+06,5508.96
value,2301,2315,2309,2315,2315,2308
weight,879,887,880,887,887,895
numItemsInKnapsack,23,23,23,23,23,23
,,,,,,
,,,a31.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.04902,0.041729,0.037827,null,null,5500.13
value,2640,2781,2781,null,null,2781
weight,985,997,997,null,null,997
numItemsInKnapsack,29,29,29,null,null,29
,,,,,,
,,,b31.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.030893,0.039764,0.039305,null,null,5500.09
value,291,300,300,null,null,299
weight,986,981,981,null,null,995
numItemsInKnapsack,29,28,28,null,null,29
,,,,,,
,,,c31.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.028605,0.035046,0.039456,null,null,5500.09
value,590,601,601,null,null,601
weight,986,1000,1000,null,null,1000
numItemsInKnapsack,29,29,29,null,null,29
,,,,,,
,,,d31.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.044126,0.04118,0.03979,null,null,5500.11
value,469,506,506,null,null,496
weight,986,985,985,null,null,992
numItemsInKnapsack,29,28,28,null,null,29
,,,,,,
,,,e31.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.047038,0.041209,0.03912,null,null,5500.11
value,1014,1021,1036,null,null,1036
weight,986,999,999,null,null,999
numItemsInKnapsack,29,28,29,null,null,29
,,,,,,
,,,f31.kp,,,
, Greedy (by weight), Greedy (by value), Greedy (by ratio), Exhaustive Search, Pruned Exhaustive Search, Optimized Greedy by Weight
runtime,0.028425,0.037652,0.038677,null,null,5500.1
value,250,280,280,null,null,273
weight,986,984,1000,null,null,1000
numItemsInKnapsack,29,28,29,null,null,29
,,,,,,
